0,10
1,25
2,28
3,25
4,25
5,26
6,23
7,23
8,20
9,18
10,14
11,14
12,11
13,11
14,11
15,11
16,11
17,10
18,9
19,9
20,9
21,9
22,8
23,7
24,7
25,7
26,5
27,5
28,5
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
